billing_account_id,service.id,service.description,sku.id,sku.description,usage_start_time,usage_end_time,project.id,project.name,project.number,project.ancestry_numbers,labels,system_labels,location.region,location.zone,location.country,resource.name,resource.global_name,cost,cost_at_list,currency,usage.amount,usage.unit,usage.pricing_unit,credits,invoice.month,cost_type
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,5084C307-910292,n2-standard-2 running in us-central1,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""44.05""}, {""key"": ""memory_util_pct"", ""value"": ""56.55""}, {""key"": ""disk_util_pct"", ""value"": ""41.33""}, {""key"": ""idle_hours"", ""value"": ""13""}, {""key"": ""last_activity_at"", ""value"": ""2026-02-27T01:18:14Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.18249983,0.18249983,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,A11B8F68-E27C0E,n2-standard-2 running in us-central1,2026-03-01T10:00:00Z,2026-03-01T11:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""57.1""}, {""key"": ""memory_util_pct"", ""value"": ""39.25""}, {""key"": ""disk_util_pct"", ""value"": ""41.01""}, {""key"": ""idle_hours"", ""value"": ""9""}, {""key"": ""last_activity_at"", ""value"": ""2026-02-27T17:50:22Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.1825098,0.1825098,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,557ED279-6FEC9E,n2-standard-2 running in us-central1,2026-03-01T20:00:00Z,2026-03-01T21:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""36.05""}, {""key"": ""memory_util_pct"", ""value"": ""41.44""}, {""key"": ""disk_util_pct"", ""value"": ""40.07""}, {""key"": ""idle_hours"", ""value"": ""6""}, {""key"": ""last_activity_at"", ""value"": ""2026-02-27T12:07:41Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.18256137,0.18256137,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,5A1A4E9D-8FA37E,n2-standard-2 running in us-central1,2026-03-02T06:00:00Z,2026-03-02T07:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""57.47""}, {""key"": ""memory_util_pct"", ""value"": ""45.61""}, {""key"": ""disk_util_pct"", ""value"": ""47.18""}, {""key"": ""idle_hours"", ""value"": ""8""}, {""key"": ""last_activity_at"", ""value"": ""2026-02-27T20:08:19Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.18255576,0.18255576,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,BBB083F6-3D7FFF,n2-standard-2 running in us-central1,2026-03-02T16:00:00Z,2026-03-02T17:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""34.91""}, {""key"": ""memory_util_pct"", ""value"": ""44.06""}, {""key"": ""disk_util_pct"", ""value"": ""35.27""}, {""key"": ""idle_hours"", ""value"": ""21""}, {""key"": ""last_activity_at"", ""value"": ""2026-02-28T14:58:29Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.1824727,0.1824727,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,05BE2247-43B5FE,n2-standard-2 running in us-central1,2026-03-03T02:00:00Z,2026-03-03T03:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""49.2""}, {""key"": ""memory_util_pct"", ""value"": ""61.89""}, {""key"": ""disk_util_pct"", ""value"": ""25.29""}, {""key"": ""idle_hours"", ""value"": ""20""}, {""key"": ""last_activity_at"", ""value"": ""2026-03-02T00:42:58Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.18259901,0.18259901,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,D0AABFC9-FEC6A0,n2-standard-2 running in us-central1,2026-03-03T12:00:00Z,2026-03-03T13:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""47.27""}, {""key"": ""memory_util_pct"", ""value"": ""63.74""}, {""key"": ""disk_util_pct"", ""value"": ""32.52""}, {""key"": ""idle_hours"", ""value"": ""19""}, {""key"": ""last_activity_at"", ""value"": ""2026-03-01T12:44:06Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.18272078,0.18272078,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,14FEF3E7-68DE33,n2-standard-2 running in us-central1,2026-03-03T22:00:00Z,2026-03-03T23:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""47.32""}, {""key"": ""memory_util_pct"", ""value"": ""65.1""}, {""key"": ""disk_util_pct"", ""value"": ""50.47""}, {""key"": ""idle_hours"", ""value"": ""13""}, {""key"": ""last_activity_at"", ""value"": ""2026-03-03T02:21:12Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.18260969,0.18260969,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,A1F7462F-FA6F5F,n2-standard-2 running in us-central1,2026-03-04T08:00:00Z,2026-03-04T09:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""42.58""}, {""key"": ""memory_util_pct"", ""value"": ""54.98""}, {""key"": ""disk_util_pct"", ""value"": ""46.04""}, {""key"": ""idle_hours"", ""value"": ""15""}, {""key"": ""last_activity_at"", ""value"": ""2026-03-02T04:37:18Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.18269329,0.18269329,USD,1.0,hour,hour,[],202603,regular
ABCDEF-123456-ABCDEF,6F81-5844-456A,Compute Engine,003BCFA7-FF3E61,n2-standard-2 running in us-central1,2026-03-04T18:00:00Z,2026-03-04T19:00:00Z,platform-prod-001,Platform Production,100000000001,100000000001/222111000/123456789,"[{""key"": ""team"", ""value"": ""platform""}, {""key"": ""environment"", ""value"": ""prod""}, {""key"": ""cost_center"", ""value"": ""cc100""}, {""key"": ""application"", ""value"": ""platform-core""}, {""key"": ""business_unit"", ""value"": ""engineering""}, {""key"": ""owner_email"", ""value"": ""platform-owner@company.com""}, {""key"": ""support_group"", ""value"": ""platform-operations""}, {""key"": ""workload_criticality"", ""value"": ""mission_critical""}, {""key"": ""sla_tier"", ""value"": ""platinum""}]","[{""key"": ""compute_cores"", ""value"": ""2""}, {""key"": ""compute_memory"", ""value"": ""8""}, {""key"": ""is_unused_reservation"", ""value"": ""false""}, {""key"": ""cpu_util_pct"", ""value"": ""33.69""}, {""key"": ""memory_util_pct"", ""value"": ""60.87""}, {""key"": ""disk_util_pct"", ""value"": ""50.14""}, {""key"": ""idle_hours"", ""value"": ""13""}, {""key"": ""last_activity_at"", ""value"": ""2026-03-03T19:51:41Z""}]",us-central1-a,,US,projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,//compute.googleapis.com/projects/platform-prod-001/zones/us-central1-a/instances/vm-n2standard2-a,0.18274564,0.18274564,USD,1.0,hour,hour,[],202603,regular
